日付,時間,場所,map,内容,,その他やりたいこと
2/21,2:40,新千歳→札幌駅,https://goo.gl/maps/gGcCt8yc9Z3YmoTd6,移動、お嬢合流,,ブラックニッカと写真とる
2/21,15:30,エアビ,https://goo.gl/maps/EYN7aWh9ZfmDjeT2A,チェックイン,,ソフトクリーム
2/21,17:00,サッポロビール園,https://goo.gl/maps/23b6VNnkLGPqR6So7,晩飯,,夕張メロン
2/22,7:30,札幌国際スキー場,https://goo.gl/maps/scbWCGTidvveUPym7,移動、スキー、スノボ,,かに
2/22,12:00,札幌国際スキー場,https://goo.gl/maps/scbWCGTidvveUPym7,昼飯,,ローストビーフ
2/22,18:00,るっく,https://goo.gl/maps/F2yvY9XQGpeGDCG59,晩飯,,ラーメン
2/23,12:00,エアビ,https://goo.gl/maps/EYN7aWh9ZfmDjeT2A,起床,,海鮮丼
2/23,18:00,トリトン,https://goo.gl/maps/J9NiNLPWmr6pFcgg6,飲み歩き、みおしん合流,,飲みまくって記憶飛ばす
2/24,12:00,小樽のガラス工房,https://goo.gl/maps/sx9nBxYRQHXXtXWd9,ガラス体験、小樽観光,,
2/25,10:00,エアビ,https://goo.gl/maps/EYN7aWh9ZfmDjeT2A,チェックアウト,,
2/25,12:00,二条市場,https://goo.gl/maps/yzzUeXjXsD8WQ1sE9,昼飯,,
2/25,13:00,札幌駅,https://goo.gl/maps/dYbGhADRLbAJvmTw8,札幌駅→新千歳空港,,
2/25,16:10,新千歳空港,https://goo.gl/maps/JX4c34fLJ7qwq1c66,新千歳空港→福岡,,
